idx	Train_S	Test_S	All_S	Train_T	Test_T	All_T	Train_T_10	Test_T_10	All_T_10	Other1	Other2
0	0.08628572	0.08133333	0.0848	0.08514286	0.08	0.0836	[0.0, 0.029761905, 0.017142856, 0.11299435, 0.37714285, 0.0, 0.2881356, 0.020289855, 0.0029498525, 0.0]	[0.0, 0.05487805, 0.006666667, 0.08219178, 0.36, 0.0, 0.26027396, 0.038709678, 0.0, 0.0]	[0.0, 0.038, 0.014, 0.104, 0.372, 0.0, 0.28, 0.026, 0.002, 0.0]	0.00011905952	1.4211982e-06
10	0.1	0.1	0.1	0.1	0.1	0.1	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.00020094868	4.8454385e-06
20	0.09971429	0.096666664	0.0988	0.09942857	0.09866667	0.0992	[0.0, 0.0, 0.0, 0.0, 0.9942857, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 0.9866667, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 0.992, 0.0, 0.0, 0.0, 0.0, 0.0]	0.0002812473	2.6027905e-05
30	0.1	0.1	0.1	0.1	0.1	0.1	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.0002592369	6.331946e-05
40	0.1	0.1	0.1	0.1	0.1	0.1	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.00025903177	8.776388e-05
50	0.10028572	0.1	0.1002	0.1	0.1	0.1	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.00022802362	7.568183e-05
60	0.116	0.11133333	0.1146	0.104	0.106	0.1046	[0.0, 0.0, 0.0, 0.03954802, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.061643835, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.046, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.00017189328	7.3323725e-05
70	0.12885714	0.118666664	0.1258	0.11228571	0.108	0.111	[0.0, 0.0, 0.0, 0.121468924, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.08219178, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.11, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.00021161395	7.155503e-05
80	0.192	0.17933333	0.1882	0.17514285	0.16933334	0.1734	[0.0, 0.0, 0.0, 0.91525424, 0.8257143, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.89726025, 0.82, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.91, 0.824, 0.0, 0.0, 0.0, 0.0, 0.0]	0.00023355708	6.163062e-05
90	0.11057143	0.106	0.1092	0.100857146	0.101333335	0.101	[0.0, 0.0, 0.0, 0.008474576, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.01369863, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.01, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	0.00022003613	6.4790365e-05
100	0.12314286	0.114	0.1204	0.10485714	0.10666667	0.1054	[0.0, 0.0, 0.0, 0.04519774, 1.0, 0.0, 0.0028248588, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.06849315, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.052, 1.0, 0.0, 0.002, 0.0, 0.0, 0.0]	0.00022751559	5.9190555e-05
110	0.19685714	0.18733333	0.194	0.17028572	0.16133334	0.1676	[0.0, 0.0, 0.0, 0.68926555, 0.99714285, 0.0, 0.008474576, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.63013697, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.672, 0.998, 0.0, 0.006, 0.0, 0.0, 0.0]	0.00015917234	4.6940288e-05
120	0.18314286	0.16	0.1762	0.14571428	0.13466667	0.1424	[0.0, 0.0, 0.0, 0.4180791, 1.0, 0.0, 0.033898305, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.34246576, 1.0, 0.0, 0.01369863, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.396, 1.0, 0.0, 0.028, 0.0, 0.0, 0.0]	0.00015405286	5.2236603e-05
130	0.20942858	0.19733334	0.2058	0.19457144	0.19133334	0.1936	[0.0, 0.0, 0.0, 0.98870057, 0.8914286, 0.0, 0.053672317, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.98630136, 0.9, 0.0, 0.05479452, 0.0, 0.0, 0.0]	[0.0, 0.0, 0.0, 0.988, 0.894, 0.0, 0.054, 0.0, 0.0, 0.0]	0.00021359208	1.905614e-05
140	0.19857143	0.18466666	0.1944	0.17	0.16666667	0.169	[0.049132947, 0.0, 0.0, 0.6299435, 1.0, 0.0, 0.014124294, 0.0, 0.0, 0.0]	[0.077922076, 0.0, 0.0, 0.5890411, 1.0, 0.0, 0.01369863, 0.0, 0.0, 0.0]	[0.058, 0.0, 0.0, 0.618, 1.0, 0.0, 0.014, 0.0, 0.0, 0.0]	0.00018182117	2.913666e-05
150	0.28971428	0.26866665	0.2834	0.24228571	0.23666666	0.2406	[1.0, 0.0, 0.0, 0.39548022, 1.0, 0.0, 0.033898305, 0.0, 0.0, 0.0]	[1.0, 0.0, 0.0, 0.31506848, 1.0, 0.0, 0.034246575, 0.0, 0.0, 0.0]	[1.0, 0.0, 0.0, 0.372, 1.0, 0.0, 0.034, 0.0, 0.0, 0.0]	0.00016946672	3.3780583e-05
160	0.37657142	0.35666665	0.3706	0.3222857	0.32666665	0.3236	[1.0, 0.21130952, 0.0, 0.9293785, 1.0, 0.0, 0.09039548, 0.0, 0.0, 0.0]	[1.0, 0.24390244, 0.0, 0.8767123, 1.0, 0.0, 0.12328767, 0.0, 0.0, 0.0]	[1.0, 0.222, 0.0, 0.914, 1.0, 0.0, 0.1, 0.0, 0.0, 0.0]	0.00011740031	2.3798784e-06
170	0.41485715	0.41533333	0.415	0.396	0.404	0.3984	[1.0, 0.9702381, 0.0, 0.90960455, 1.0, 0.0, 0.118644066, 0.0, 0.0, 0.0]	[1.0, 0.9756098, 0.0, 0.8561644, 1.0, 0.0, 0.11643836, 0.0, 0.0, 0.0]	[1.0, 0.972, 0.0, 0.894, 1.0, 0.0, 0.118, 0.0, 0.0, 0.0]	2.5579197e-05	9.572017e-06
180	0.42171428	0.40066665	0.4154	0.3642857	0.372	0.3666	[1.0, 0.3452381, 0.0, 0.9915254, 1.0, 0.0, 0.31638417, 0.0, 0.0, 0.0]	[1.0, 0.36585367, 0.0, 0.98630136, 1.0, 0.0, 0.34246576, 0.0, 0.0, 0.0]	[1.0, 0.352, 0.0, 0.99, 1.0, 0.0, 0.324, 0.0, 0.0, 0.0]	3.886412e-05	2.2592372e-05
190	0.454	0.44133332	0.4502	0.41228572	0.42133334	0.415	[1.0, 0.72619045, 0.0, 0.99717516, 0.99714285, 0.0, 0.42655367, 0.0, 0.0, 0.0]	[1.0, 0.7134146, 0.0, 1.0, 1.0, 0.0, 0.44520548, 0.0, 0.0, 0.0]	[1.0, 0.722, 0.0, 0.998, 0.998, 0.0, 0.432, 0.0, 0.0, 0.0]	2.3592089e-05	2.8632465e-05
200	0.42	0.4	0.414	0.3597143	0.35666665	0.3588	[1.0, 0.5208333, 0.0, 0.8361582, 1.0, 0.0, 0.259887, 0.0, 0.0, 0.0]	[1.0, 0.47560975, 0.0, 0.75342464, 1.0, 0.0, 0.29452056, 0.0, 0.0, 0.0]	[1.0, 0.506, 0.0, 0.812, 1.0, 0.0, 0.27, 0.0, 0.0, 0.0]	4.0027546e-05	1.4839112e-05
